
You're using a T5TokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
{'loss': 3.5722, 'learning_rate': 1.9933600000000002e-05, 'epoch': 0.1}
{'loss': 3.5089, 'learning_rate': 1.9866666666666667e-05, 'epoch': 0.2}
{'loss': 3.5687, 'learning_rate': 1.97336e-05, 'epoch': 0.4}
{'loss': 3.5619, 'learning_rate': 1.9600266666666666e-05, 'epoch': 0.6}
{'loss': 3.5236, 'learning_rate': 1.9466933333333335e-05, 'epoch': 0.8}
{'loss': 3.5155, 'learning_rate': 1.93336e-05, 'epoch': 1.0}
{'loss': 3.5051, 'learning_rate': 1.9200533333333337e-05, 'epoch': 1.2}
{'loss': 3.4719, 'learning_rate': 1.9067200000000003e-05, 'epoch': 1.4}
{'loss': 3.478, 'learning_rate': 1.893386666666667e-05, 'epoch': 1.6}
{'loss': 3.4501, 'learning_rate': 1.8800533333333334e-05, 'epoch': 1.8}
{'loss': 3.4425, 'learning_rate': 1.86672e-05, 'epoch': 2.0}
{'loss': 3.4254, 'learning_rate': 1.8534133333333336e-05, 'epoch': 2.2}
{'loss': 3.3976, 'learning_rate': 1.8400800000000002e-05, 'epoch': 2.4}
{'loss': 3.4021, 'learning_rate': 1.8267466666666667e-05, 'epoch': 2.6}
{'loss': 3.4068, 'learning_rate': 1.8134133333333333e-05, 'epoch': 2.8}
{'loss': 3.3961, 'learning_rate': 1.800106666666667e-05, 'epoch': 3.0}
{'loss': 3.3651, 'learning_rate': 1.7867733333333335e-05, 'epoch': 3.2}
{'loss': 3.3565, 'learning_rate': 1.77344e-05, 'epoch': 3.4}
{'loss': 3.3505, 'learning_rate': 1.760106666666667e-05, 'epoch': 3.6}
{'loss': 3.3442, 'learning_rate': 1.7467733333333336e-05, 'epoch': 3.8}
{'loss': 3.3369, 'learning_rate': 1.733466666666667e-05, 'epoch': 4.0}
{'loss': 3.3207, 'learning_rate': 1.7201333333333334e-05, 'epoch': 4.2}
{'loss': 3.3168, 'learning_rate': 1.7068000000000003e-05, 'epoch': 4.4}
{'loss': 3.3179, 'learning_rate': 1.693466666666667e-05, 'epoch': 4.6}
{'loss': 3.2881, 'learning_rate': 1.6801600000000002e-05, 'epoch': 4.8}
{'loss': 3.281, 'learning_rate': 1.6668266666666668e-05, 'epoch': 5.0}
{'loss': 3.2797, 'learning_rate': 1.6534933333333333e-05, 'epoch': 5.2}
{'loss': 3.2678, 'learning_rate': 1.6401600000000002e-05, 'epoch': 5.4}
{'loss': 3.2691, 'learning_rate': 1.6268533333333335e-05, 'epoch': 5.6}
{'loss': 3.2451, 'learning_rate': 1.61352e-05, 'epoch': 5.8}
{'loss': 3.242, 'learning_rate': 1.6001866666666667e-05, 'epoch': 6.0}
{'loss': 3.2289, 'learning_rate': 1.5868533333333332e-05, 'epoch': 6.2}
{'loss': 3.2279, 'learning_rate': 1.57352e-05, 'epoch': 6.4}
{'loss': 3.24, 'learning_rate': 1.5601866666666667e-05, 'epoch': 6.6}
{'loss': 3.2071, 'learning_rate': 1.54688e-05, 'epoch': 6.8}
{'loss': 3.1977, 'learning_rate': 1.5335466666666666e-05, 'epoch': 7.0}
{'loss': 3.188, 'learning_rate': 1.5202133333333335e-05, 'epoch': 7.2}
{'loss': 3.1848, 'learning_rate': 1.50688e-05, 'epoch': 7.4}
{'loss': 3.1691, 'learning_rate': 1.4935733333333335e-05, 'epoch': 7.6}
{'loss': 3.1906, 'learning_rate': 1.48024e-05, 'epoch': 7.8}
{'loss': 3.1915, 'learning_rate': 1.4669066666666666e-05, 'epoch': 8.0}
{'loss': 3.1636, 'learning_rate': 1.4535733333333336e-05, 'epoch': 8.2}
{'loss': 3.1702, 'learning_rate': 1.4402666666666667e-05, 'epoch': 8.4}
{'loss': 3.1564, 'learning_rate': 1.4269333333333336e-05, 'epoch': 8.6}
{'loss': 3.1402, 'learning_rate': 1.4136000000000002e-05, 'epoch': 8.8}
{'loss': 3.1336, 'learning_rate': 1.4002666666666669e-05, 'epoch': 9.0}
{'loss': 3.1295, 'learning_rate': 1.3869333333333335e-05, 'epoch': 9.2}
{'loss': 3.128, 'learning_rate': 1.373626666666667e-05, 'epoch': 9.4}
{'loss': 3.128, 'learning_rate': 1.3602933333333335e-05, 'epoch': 9.6}
{'loss': 3.102, 'learning_rate': 1.34696e-05, 'epoch': 9.8}
{'loss': 3.121, 'learning_rate': 1.3336266666666668e-05, 'epoch': 10.0}
{'loss': 3.099, 'learning_rate': 1.3203200000000001e-05, 'epoch': 10.2}
{'loss': 3.0972, 'learning_rate': 1.3069866666666668e-05, 'epoch': 10.4}
{'loss': 3.083, 'learning_rate': 1.2936533333333334e-05, 'epoch': 10.6}
{'loss': 3.1069, 'learning_rate': 1.28032e-05, 'epoch': 10.8}
{'loss': 3.0805, 'learning_rate': 1.2669866666666669e-05, 'epoch': 11.0}
{'loss': 3.0846, 'learning_rate': 1.25368e-05, 'epoch': 11.2}
{'loss': 3.0728, 'learning_rate': 1.2403466666666667e-05, 'epoch': 11.4}
{'loss': 3.0672, 'learning_rate': 1.2270133333333335e-05, 'epoch': 11.6}
{'loss': 3.0546, 'learning_rate': 1.2136800000000002e-05, 'epoch': 11.8}
{'loss': 3.0696, 'learning_rate': 1.2003733333333333e-05, 'epoch': 12.0}
{'loss': 3.0479, 'learning_rate': 1.1870400000000002e-05, 'epoch': 12.2}
{'loss': 3.0511, 'learning_rate': 1.1737066666666668e-05, 'epoch': 12.4}
{'loss': 3.049, 'learning_rate': 1.1603733333333334e-05, 'epoch': 12.6}
{'loss': 3.0318, 'learning_rate': 1.1470400000000001e-05, 'epoch': 12.8}
{'loss': 3.0558, 'learning_rate': 1.1337333333333334e-05, 'epoch': 13.0}
{'loss': 3.0294, 'learning_rate': 1.1204000000000001e-05, 'epoch': 13.2}
{'loss': 3.0171, 'learning_rate': 1.1070666666666667e-05, 'epoch': 13.4}
{'loss': 3.0208, 'learning_rate': 1.0937333333333333e-05, 'epoch': 13.6}
{'loss': 3.0329, 'learning_rate': 1.0804266666666667e-05, 'epoch': 13.8}
{'loss': 3.0347, 'learning_rate': 1.0670933333333333e-05, 'epoch': 14.0}
{'loss': 3.0133, 'learning_rate': 1.05376e-05, 'epoch': 14.2}
{'loss': 3.0204, 'learning_rate': 1.0404266666666666e-05, 'epoch': 14.4}
{'loss': 3.0004, 'learning_rate': 1.0270933333333335e-05, 'epoch': 14.6}
{'loss': 3.015, 'learning_rate': 1.0137866666666667e-05, 'epoch': 14.8}
{'loss': 2.9867, 'learning_rate': 1.0004533333333336e-05, 'epoch': 15.0}
{'loss': 2.997, 'learning_rate': 9.871200000000001e-06, 'epoch': 15.2}
{'loss': 2.9862, 'learning_rate': 9.737866666666667e-06, 'epoch': 15.4}
{'loss': 2.9909, 'learning_rate': 9.604533333333334e-06, 'epoch': 15.6}
{'loss': 2.9859, 'learning_rate': 9.471733333333335e-06, 'epoch': 15.8}
{'loss': 2.978, 'learning_rate': 9.3384e-06, 'epoch': 16.0}
{'loss': 2.9844, 'learning_rate': 9.205066666666668e-06, 'epoch': 16.2}
{'loss': 2.9515, 'learning_rate': 9.071733333333335e-06, 'epoch': 16.4}
{'loss': 2.9866, 'learning_rate': 8.9384e-06, 'epoch': 16.6}
{'loss': 2.968, 'learning_rate': 8.805066666666668e-06, 'epoch': 16.8}
{'loss': 2.9721, 'learning_rate': 8.671733333333334e-06, 'epoch': 17.0}
{'loss': 2.9683, 'learning_rate': 8.538400000000001e-06, 'epoch': 17.2}
{'loss': 2.9509, 'learning_rate': 8.405333333333334e-06, 'epoch': 17.4}
{'loss': 2.9637, 'learning_rate': 8.272000000000001e-06, 'epoch': 17.6}
{'loss': 2.9484, 'learning_rate': 8.138666666666667e-06, 'epoch': 17.8}
{'loss': 2.957, 'learning_rate': 8.005333333333335e-06, 'epoch': 18.0}
{'loss': 2.9497, 'learning_rate': 7.872e-06, 'epoch': 18.2}
{'loss': 2.9423, 'learning_rate': 7.738666666666668e-06, 'epoch': 18.4}
{'loss': 2.9422, 'learning_rate': 7.605333333333333e-06, 'epoch': 18.6}
{'loss': 2.9312, 'learning_rate': 7.472000000000001e-06, 'epoch': 18.8}
{'loss': 2.9535, 'learning_rate': 7.3389333333333336e-06, 'epoch': 19.0}
{'loss': 2.9364, 'learning_rate': 7.2056e-06, 'epoch': 19.2}
{'loss': 2.9324, 'learning_rate': 7.0722666666666675e-06, 'epoch': 19.4}
{'loss': 2.9251, 'learning_rate': 6.938933333333334e-06, 'epoch': 19.6}
{'loss': 2.9275, 'learning_rate': 6.805600000000001e-06, 'epoch': 19.8}
{'loss': 2.9345, 'learning_rate': 6.672533333333334e-06, 'epoch': 20.0}
{'loss': 2.9124, 'learning_rate': 6.5392e-06, 'epoch': 20.2}
{'loss': 2.9316, 'learning_rate': 6.4058666666666665e-06, 'epoch': 20.4}
{'loss': 2.9265, 'learning_rate': 6.272533333333334e-06, 'epoch': 20.6}
{'loss': 2.9195, 'learning_rate': 6.139466666666667e-06, 'epoch': 20.8}
{'loss': 2.9201, 'learning_rate': 6.006133333333334e-06, 'epoch': 21.0}
{'loss': 2.9148, 'learning_rate': 5.872800000000001e-06, 'epoch': 21.2}
{'loss': 2.9052, 'learning_rate': 5.739466666666667e-06, 'epoch': 21.4}
{'loss': 2.9161, 'learning_rate': 5.606133333333334e-06, 'epoch': 21.6}
{'loss': 2.9116, 'learning_rate': 5.473066666666668e-06, 'epoch': 21.8}
{'loss': 2.909, 'learning_rate': 5.339733333333333e-06, 'epoch': 22.0}
{'loss': 2.9016, 'learning_rate': 5.206400000000001e-06, 'epoch': 22.2}
{'loss': 2.9018, 'learning_rate': 5.073066666666667e-06, 'epoch': 22.4}
{'loss': 2.8924, 'learning_rate': 4.939733333333334e-06, 'epoch': 22.6}
{'loss': 2.9104, 'learning_rate': 4.8066666666666675e-06, 'epoch': 22.8}
{'loss': 2.9049, 'learning_rate': 4.673333333333333e-06, 'epoch': 23.0}
{'loss': 2.9, 'learning_rate': 4.540000000000001e-06, 'epoch': 23.2}
{'loss': 2.8904, 'learning_rate': 4.406666666666667e-06, 'epoch': 23.4}
{'loss': 2.9053, 'learning_rate': 4.273600000000001e-06, 'epoch': 23.6}
{'loss': 2.8858, 'learning_rate': 4.140266666666667e-06, 'epoch': 23.8}
{'loss': 2.8909, 'learning_rate': 4.006933333333334e-06, 'epoch': 24.0}
{'loss': 2.8775, 'learning_rate': 3.8736000000000005e-06, 'epoch': 24.2}
{'loss': 2.8935, 'learning_rate': 3.740533333333334e-06, 'epoch': 24.4}
{'loss': 2.8915, 'learning_rate': 3.6072e-06, 'epoch': 24.6}
{'loss': 2.898, 'learning_rate': 3.473866666666667e-06, 'epoch': 24.8}
{'loss': 2.8831, 'learning_rate': 3.3405333333333334e-06, 'epoch': 25.0}
{'loss': 2.8836, 'learning_rate': 3.2072000000000004e-06, 'epoch': 25.2}
{'loss': 2.8674, 'learning_rate': 3.0741333333333333e-06, 'epoch': 25.4}
{'loss': 2.8769, 'learning_rate': 2.9408000000000003e-06, 'epoch': 25.6}
{'loss': 2.8895, 'learning_rate': 2.807466666666667e-06, 'epoch': 25.8}
{'loss': 2.8924, 'learning_rate': 2.6741333333333338e-06, 'epoch': 26.0}
{'loss': 2.8709, 'learning_rate': 2.5408e-06, 'epoch': 26.2}
{'loss': 2.8816, 'learning_rate': 2.4077333333333337e-06, 'epoch': 26.4}
{'loss': 2.8852, 'learning_rate': 2.2744e-06, 'epoch': 26.6}
{'loss': 2.8769, 'learning_rate': 2.1410666666666667e-06, 'epoch': 26.8}
{'loss': 2.8878, 'learning_rate': 2.0077333333333337e-06, 'epoch': 27.0}
{'loss': 2.8666, 'learning_rate': 1.8746666666666668e-06, 'epoch': 27.2}
{'loss': 2.8782, 'learning_rate': 1.7413333333333336e-06, 'epoch': 27.4}
{'loss': 2.8732, 'learning_rate': 1.608e-06, 'epoch': 27.6}
{'loss': 2.885, 'learning_rate': 1.4746666666666668e-06, 'epoch': 27.8}
{'loss': 2.8761, 'learning_rate': 1.3416000000000002e-06, 'epoch': 28.0}
{'loss': 2.8617, 'learning_rate': 1.2082666666666667e-06, 'epoch': 28.2}
{'loss': 2.8641, 'learning_rate': 1.0749333333333335e-06, 'epoch': 28.4}
{'loss': 2.8768, 'learning_rate': 9.416e-07, 'epoch': 28.6}
{'loss': 2.8732, 'learning_rate': 8.085333333333334e-07, 'epoch': 28.8}
{'loss': 2.8941, 'learning_rate': 6.752e-07, 'epoch': 29.0}
{'loss': 2.8857, 'learning_rate': 5.418666666666668e-07, 'epoch': 29.2}
{'loss': 2.8798, 'learning_rate': 4.0853333333333334e-07, 'epoch': 29.4}
{'loss': 2.859, 'learning_rate': 2.7520000000000003e-07, 'epoch': 29.6}
{'loss': 2.8726, 'learning_rate': 1.418666666666667e-07, 'epoch': 29.8}
{'loss': 2.8644, 'learning_rate': 8.533333333333334e-09, 'epoch': 30.0}
